City_ID,city,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
334,valparaiso,-33.0393,-71.6273,51.44,81,90,3.44,CL,1628730362
335,vinstra,61.5952,9.7523,54.34,83,9,2.24,NO,1628730639
336,bengkulu,-3.8004,102.2655,76.86,85,99,4.23,ID,1628730639
337,yatou,37.15,122.3833,79.92,70,98,3.56,CN,1628730639
338,puerto carreno,6.189,-67.4859,79.52,83,100,1.68,CO,1628730640
339,whitehorse,60.7161,-135.0538,60.03,72,100,12.57,CA,1628730640
340,juneau,58.3019,-134.4197,56.21,96,90,1.01,US,1628730640
341,the valley,18.217,-63.0578,82.81,83,69,20.65,AI,1628730640
342,manokwari,-0.8667,134.0833,82.65,71,96,5.93,ID,1628730641
343,kyren,51.6828,102.1408,68.72,68,86,1.16,RU,1628730641
344,maues,-3.3836,-57.7186,82.45,49,61,2.19,BR,1628730641
345,bobo dioulasso,11.1771,-4.2979,71.2,92,91,3.09,BF,1628730641
346,fairview,40.8126,-73.999,84.58,80,75,5.75,US,1628730457
347,marshall,34.3834,-86.3333,77.0,67,100,4.56,US,1628730642
348,buala,-8.145,159.5921,77.27,91,100,10.02,SB,1628730642
349,ola,59.5833,151.2833,64.33,74,7,4.97,RU,1628730642
350,sorland,67.667,12.6934,54.55,93,100,9.15,NO,1628730642
351,fort-shevchenko,44.5086,50.263,87.48,35,100,7.34,KZ,1628730643
352,weyburn,49.6668,-103.8511,77.18,29,5,23.04,CA,1628730643
353,tutoia,-2.7619,-42.2744,79.57,85,63,12.57,BR,1628730643
354,chenghai,23.4632,116.768,85.32,74,92,5.68,CN,1628730643
355,pevek,69.7008,170.3133,39.87,72,89,6.08,RU,1628730644
356,xuddur,4.1213,43.8894,69.35,77,64,16.78,SO,1628730644
357,leeuwarden,53.2014,5.8086,62.62,96,90,2.3,NL,1628730644
358,pangnirtung,66.1451,-65.7125,46.56,78,100,8.75,CA,1628730644
359,los llanos de aridane,28.6585,-17.9182,69.55,79,0,10.36,ES,1628730645
360,toamasina,-18.1667,49.3833,64.98,88,26,6.04,MG,1628730645
361,paka,4.6374,103.4368,81.18,79,100,4.25,MY,1628730645
362,kajiado,-1.8524,36.7768,58.26,83,100,4.43,KE,1628730645
363,usinsk,65.9939,57.5281,55.04,71,100,11.68,RU,1628730646
364,gidole,5.65,37.3667,55.72,81,65,4.74,ET,1628730646
365,hasaki,35.7333,140.8333,79.2,80,100,8.08,JP,1628730646
366,zyryanka,65.75,150.85,75.04,35,100,3.42,RU,1628730646
367,sao joao da barra,-21.6403,-41.0511,69.6,79,1,16.24,BR,1628730647
368,lasa,46.6166,10.7002,64.02,79,63,2.64,IT,1628730647
369,okmulgee,35.6234,-95.9605,91.78,43,1,6.91,US,1628730647
370,beihai,21.4833,109.1,85.69,75,100,8.12,CN,1628730647
371,ostrovnoy,68.0531,39.5131,56.26,85,100,11.25,RU,1628730648
372,opunake,-39.4556,173.8583,57.34,69,82,15.41,NZ,1628730648
373,banyo,6.75,11.8167,64.22,99,100,0.31,CM,1628730648
374,port-gentil,-0.7193,8.7815,76.37,80,100,12.35,GA,1628730648
375,uelzen,52.9667,10.5667,59.22,83,0,2.84,DE,1628730649
376,mehamn,71.0357,27.8492,54.36,94,98,12.75,NO,1628730649
377,ayagoz,47.9714,80.4392,66.38,57,33,7.76,KZ,1628730649
378,linxia,35.6003,103.2064,66.99,49,98,0.2,CN,1628730649
379,sosnovo-ozerskoye,52.5249,111.5418,60.94,79,100,10.04,RU,1628730650
380,kijang,35.2442,129.2139,79.99,74,98,9.82,KR,1628730650
381,kollam,8.8833,76.6,75.07,88,100,7.38,IN,1628730650
382,bubaque,11.2833,-15.8333,80.1,83,100,13.71,GW,1628730650
383,shakawe,-18.3667,21.85,56.43,33,0,5.84,BW,1628730651
384,nador,35.174,-2.9287,75.45,88,90,5.75,MA,1628730651
385,havelock,34.8791,-76.9013,82.94,87,1,1.99,US,1628730651
386,batagay-alyta,67.8006,130.4114,68.9,46,90,6.29,RU,1628730651
387,savannah bight,16.45,-85.85,82.0,74,99,18.7,HN,1628730652
388,saint-augustin,51.226,-58.6502,57.02,71,100,12.3,CA,1628730652
389,roma,43.2128,-75.4557,81.43,87,20,3.44,US,1628730371
390,rebrikha,53.0733,82.3408,59.63,89,15,7.74,RU,1628730652
391,lasem,-6.6922,111.4527,80.67,63,20,7.96,ID,1628730652
392,nhulunbuy,-12.2333,136.7667,83.01,65,40,18.41,AU,1628730653
393,astana,51.1801,71.446,57.15,88,90,6.71,KZ,1628730517
394,alcaniz,41.05,-0.1333,81.75,55,100,7.16,ES,1628730653
395,witbank,-25.8713,29.2332,47.26,71,0,6.49,ZA,1628730373
396,arica,-18.475,-70.3042,59.23,77,90,4.61,CL,1628730572
397,talnakh,69.4865,88.3972,42.46,94,100,6.78,RU,1628730653
398,fatehpur,25.9333,80.8,81.68,83,100,8.32,IN,1628730653
399,sinnamary,5.3833,-52.95,76.91,89,100,5.59,GF,1628730654
400,omboue,-1.5746,9.2618,74.43,83,99,6.51,GA,1628730654
401,kavieng,-2.5744,150.7967,84.69,67,76,4.94,PG,1628730654
402,poum,-20.2333,164.0167,71.83,61,57,19.01,NC,1628730654
403,grindavik,63.8424,-22.4338,52.56,93,90,3.44,IS,1628730655
404,presidente epitacio,-21.7633,-52.1156,68.95,63,4,9.22,BR,1628730655
405,torbay,47.6666,-52.7314,60.89,93,100,8.43,CA,1628730655
406,mbandaka,0.0487,18.2603,70.11,87,19,3.0,CD,1628730655
407,telimele,10.9167,-13.3333,70.56,98,100,2.33,GN,1628730656
408,riohacha,11.5444,-72.9072,80.01,83,29,4.54,CO,1628730586
409,sistranda,63.7256,8.834,57.16,88,73,4.59,NO,1628730656
